,dt,open,close,high,low,vol,turnover,ts
0,2024-02-07 22:31:00,169.47,169.046,169.49,167.2,2079355,350790016.0,1707316260
1,2024-02-07 22:32:00,169.139,169.6,169.69,168.85,300320,50879392.0,1707316320
2,2024-02-07 22:33:00,169.66,170.04,170.045,169.66,449346,76343264.0,1707316380
3,2024-02-07 22:34:00,170.07,169.26,170.183,169.26,353018,59947712.0,1707316440
4,2024-02-07 22:35:00,169.49,169.885,169.885,169.49,292627,49655744.0,1707316500
5,2024-02-07 22:36:00,170.147,169.39,170.147,169.39,257322,43683456.0,1707316560
6,2024-02-07 22:37:00,169.07,169.211,169.531,169.07,228276,38663296.0,1707316620
7,2024-02-07 22:38:00,169.14,169.115,169.19,169.11,192819,32618048.0,1707316680
8,2024-02-07 22:39:00,169.136,168.65,169.136,168.65,365073,61644288.0,1707316740
9,2024-02-07 22:40:00,168.535,168.615,168.63,168.535,319227,53820800.0,1707316800
10,2024-02-07 22:41:00,168.525,168.768,169.01,168.525,333481,56297472.0,1707316860
11,2024-02-07 22:42:00,168.758,168.62,168.758,168.248,272235,45882944.0,1707316920
12,2024-02-07 22:43:00,168.85,169.43,169.68,168.85,282761,47890880.0,1707316980
13,2024-02-07 22:44:00,169.572,169.9,169.9,169.544,219798,37286080.0,1707317040
14,2024-02-07 22:45:00,169.538,169.755,169.869,169.538,203330,34526656.0,1707317100
15,2024-02-07 22:46:00,169.858,169.628,169.858,169.528,198846,33737792.0,1707317160
16,2024-02-07 22:47:00,169.765,169.77,169.77,169.6,221239,37539840.0,1707317220
17,2024-02-07 22:48:00,169.7,169.511,170.13,169.511,361702,61447296.0,1707317280
18,2024-02-07 22:49:00,169.53,169.369,169.54,169.051,214111,36242816.0,1707317340
19,2024-02-07 22:50:00,169.531,169.69,170.07,169.531,249109,42302080.0,1707317400
20,2024-02-07 22:51:00,169.825,169.88,169.89,169.825,134885,22907008.0,1707317460
21,2024-02-07 22:52:00,169.51,169.785,169.785,169.42,209873,35574784.0,1707317520
22,2024-02-07 22:53:00,169.7,170.13,170.13,169.7,252184,42869888.0,1707317580
23,2024-02-07 22:54:00,170.18,169.91,170.18,169.91,235143,40000256.0,1707317640
24,2024-02-07 22:55:00,169.869,169.77,169.869,169.73,130097,22096256.0,1707317700
25,2024-02-07 22:56:00,169.64,169.66,169.76,169.53,181400,30766592.0,1707317760
26,2024-02-07 22:57:00,169.72,169.93,169.93,169.72,166396,28254848.0,1707317820
27,2024-02-07 22:58:00,169.91,169.865,169.91,169.656,163359,27747968.0,1707317880
28,2024-02-07 22:59:00,169.89,169.6,169.89,169.6,126700,21515264.0,1707317940
29,2024-02-07 23:00:00,169.63,169.92,169.935,169.63,108193,18371584.0,1707318000
30,2024-02-07 23:01:00,169.96,170.09,170.09,169.88,187988,31950848.0,1707318060
31,2024-02-07 23:02:00,169.935,170.48,170.48,169.935,314507,53549440.0,1707318120
32,2024-02-07 23:03:00,170.46,170.93,170.95,170.46,476326,81291648.0,1707318180
33,2024-02-07 23:04:00,170.94,170.87,171.15,170.87,474659,81203200.0,1707318240
34,2024-02-07 23:05:00,170.91,170.93,171.01,170.91,323292,55259392.0,1707318300
35,2024-02-07 23:06:00,171.15,171.36,171.38,171.06,387579,66373248.0,1707318360
36,2024-02-07 23:07:00,171.33,171.29,171.33,171.167,193655,33163392.0,1707318420
37,2024-02-07 23:08:00,171.25,171.18,171.327,171.18,203705,34884992.0,1707318480
38,2024-02-07 23:09:00,171.03,170.733,171.164,170.733,229737,39281664.0,1707318540
39,2024-02-07 23:10:00,170.688,170.755,170.9,170.688,193378,33012224.0,1707318600
40,2024-02-07 23:11:00,170.91,171.06,171.09,170.91,183740,31416192.0,1707318660
41,2024-02-07 23:12:00,171.01,170.94,171.06,170.88,138358,23653888.0,1707318720
42,2024-02-07 23:13:00,171.04,171.1,171.1,171.04,164504,28137472.0,1707318780
43,2024-02-07 23:14:00,171.21,171.813,171.813,171.17,790076,135793152.0,1707318840
44,2024-02-07 23:15:00,171.773,171.83,171.914,171.69,251107,43161344.0,1707318900
45,2024-02-07 23:16:00,171.676,171.68,171.765,171.666,205801,35357440.0,1707318960
46,2024-02-07 23:17:00,171.63,171.98,171.98,171.63,200762,34501632.0,1707319020
47,2024-02-07 23:18:00,171.915,171.63,171.915,171.63,150688,25882880.0,1707319080
48,2024-02-07 23:19:00,171.345,171.164,171.345,171.164,209014,35820800.0,1707319140
49,2024-02-07 23:20:00,171.2,170.84,171.25,170.84,270549,46273536.0,1707319200
50,2024-02-07 23:21:00,170.96,170.95,170.96,170.8,144426,24690432.0,1707319260
51,2024-02-07 23:22:00,170.95,171.107,171.22,170.95,171206,29308416.0,1707319320
52,2024-02-07 23:23:00,171.054,171.15,171.15,170.83,161183,27580160.0,1707319380
53,2024-02-07 23:24:00,171.21,171.23,171.23,171.06,152736,26159360.0,1707319440
54,2024-02-07 23:25:00,171.15,171.52,171.58,171.15,287676,49335808.0,1707319500
55,2024-02-07 23:26:00,171.48,171.536,171.56,171.44,203091,34857984.0,1707319560
56,2024-02-07 23:27:00,171.38,171.38,171.446,171.3,154325,26473216.0,1707319620
57,2024-02-07 23:28:00,171.39,171.41,171.45,171.3,123924,21256448.0,1707319680
58,2024-02-07 23:29:00,171.349,171.57,171.72,171.349,238851,40997888.0,1707319740
59,2024-02-07 23:30:00,171.544,171.58,171.73,171.424,171066,29363456.0,1707319800
60,2024-02-07 23:31:00,171.495,171.377,171.495,171.24,243558,41740544.0,1707319860
61,2024-02-07 23:32:00,171.41,171.525,171.525,171.404,114164,19575296.0,1707319920
62,2024-02-07 23:33:00,171.605,171.66,171.71,171.575,164108,28178944.0,1707319980
63,2024-02-07 23:34:00,171.681,171.97,171.97,171.681,221456,38061056.0,1707320040
64,2024-02-07 23:35:00,171.85,171.738,171.85,171.565,177296,30465792.0,1707320100
65,2024-02-07 23:36:00,171.63,171.227,171.63,171.227,168028,28816128.0,1707320160
66,2024-02-07 23:37:00,171.2,171.065,171.26,171.065,111830,19156224.0,1707320220
67,2024-02-07 23:38:00,170.95,171.07,171.135,170.95,123704,21176320.0,1707320280
68,2024-02-07 23:39:00,170.862,170.835,170.936,170.832,134870,23059968.0,1707320340
69,2024-02-07 23:40:00,170.939,170.895,170.95,170.852,94064,16086528.0,1707320400
70,2024-02-07 23:41:00,170.91,170.49,170.925,170.49,253360,43268864.0,1707320460
71,2024-02-07 23:42:00,170.47,170.63,170.63,170.35,225984,38570240.0,1707320520
72,2024-02-07 23:43:00,170.499,170.4,170.55,170.4,139520,23821568.0,1707320580
73,2024-02-07 23:44:00,170.36,170.66,170.66,170.36,154448,26368512.0,1707320640
74,2024-02-07 23:45:00,170.776,170.715,170.776,170.683,131554,22482432.0,1707320700
75,2024-02-07 23:46:00,170.744,170.85,170.85,170.725,73082,12500224.0,1707320760
76,2024-02-07 23:47:00,170.798,171.06,171.085,170.798,149076,25516288.0,1707320820
77,2024-02-07 23:48:00,171.111,170.95,171.111,170.87,125990,21559808.0,1707320880
78,2024-02-07 23:49:00,170.89,170.78,170.89,170.775,78634,13445376.0,1707320940
79,2024-02-07 23:50:00,170.77,170.85,170.855,170.72,88644,15154944.0,1707321000
80,2024-02-07 23:51:00,170.835,171.197,171.197,170.835,161480,27633920.0,1707321060
81,2024-02-07 23:52:00,171.19,171.294,171.294,171.161,145334,24894720.0,1707321120
82,2024-02-07 23:53:00,171.23,171.428,171.428,171.23,128354,21998848.0,1707321180
83,2024-02-07 23:54:00,171.402,171.32,171.42,171.27,161372,27657728.0,1707321240
84,2024-02-07 23:55:00,171.425,171.416,171.425,171.33,80160,13739264.0,1707321300
85,2024-02-07 23:56:00,171.244,171.06,171.246,171.02,143966,24640768.0,1707321360
86,2024-02-07 23:57:00,171.01,170.91,171.095,170.91,82538,14118656.0,1707321420
87,2024-02-07 23:58:00,170.862,170.857,170.92,170.73,122336,20908032.0,1707321480
88,2024-02-07 23:59:00,170.906,170.765,170.906,170.695,131900,22532096.0,1707321540
89,2024-02-08 00:00:00,170.721,170.604,170.721,170.43,139328,23778816.0,1707321600
90,2024-02-08 00:01:00,170.58,170.2,170.58,170.19,220152,37499904.0,1707321660
91,2024-02-08 00:02:00,170.11,170.115,170.26,170.11,86152,14663936.0,1707321720
92,2024-02-08 00:03:00,170.14,170.45,170.45,170.14,121908,20759296.0,1707321780
93,2024-02-08 00:04:00,170.53,170.73,170.76,170.485,151104,25787648.0,1707321840
94,2024-02-08 00:05:00,170.64,170.806,170.806,170.64,98620,16843776.0,1707321900
95,2024-02-08 00:06:00,170.73,170.89,170.89,170.63,117616,20092416.0,1707321960
96,2024-02-08 00:07:00,170.86,170.74,170.86,170.72,60586,10346496.0,1707322020
97,2024-02-08 00:08:00,170.79,171.0,171.0,170.717,123062,21036032.0,1707322080
98,2024-02-08 00:09:00,171.025,170.745,171.064,170.745,104840,17924608.0,1707322140
99,2024-02-08 00:10:00,170.75,170.91,170.91,170.7,131234,22423040.0,1707322200
100,2024-02-08 00:11:00,170.93,170.815,170.95,170.815,53626,9167616.0,1707322260
101,2024-02-08 00:12:00,170.89,170.83,170.89,170.77,49888,8525056.0,1707322320
102,2024-02-08 00:13:00,170.789,170.82,170.82,170.665,77824,13292544.0,1707322380
103,2024-02-08 00:14:00,170.88,170.806,170.905,170.806,86312,14749952.0,1707322440
104,2024-02-08 00:15:00,170.908,170.82,170.908,170.74,58512,9998336.0,1707322500
105,2024-02-08 00:16:00,170.765,170.934,170.934,170.69,94350,16116736.0,1707322560
106,2024-02-08 00:17:00,170.85,170.55,170.85,170.55,108450,18524928.0,1707322620
107,2024-02-08 00:18:00,170.55,170.535,170.7,170.535,88162,15049984.0,1707322680
108,2024-02-08 00:19:00,170.677,170.47,170.677,170.409,142798,24362752.0,1707322740
109,2024-02-08 00:20:00,170.46,170.435,170.508,170.43,80114,13668352.0,1707322800
110,2024-02-08 00:21:00,170.31,170.14,170.33,170.076,151018,25712640.0,1707322860
111,2024-02-08 00:22:00,170.15,170.235,170.235,170.12,106886,18192896.0,1707322920
112,2024-02-08 00:23:00,170.313,170.42,170.42,170.313,125338,21369344.0,1707322980
113,2024-02-08 00:24:00,170.51,170.45,170.52,170.37,126504,21579776.0,1707323040
114,2024-02-08 00:25:00,170.35,170.285,170.41,170.25,106966,18227968.0,1707323100
115,2024-02-08 00:26:00,170.335,170.23,170.335,170.199,61440,10465792.0,1707323160
116,2024-02-08 00:27:00,170.29,170.38,170.38,170.25,63584,10838528.0,1707323220
117,2024-02-08 00:28:00,170.368,170.29,170.38,170.264,58686,10004736.0,1707323280
118,2024-02-08 00:29:00,170.356,170.35,170.42,170.305,57472,9804544.0,1707323340
119,2024-02-08 00:30:00,170.385,170.35,170.385,170.23,111544,19003904.0,1707323400
120,2024-02-08 00:31:00,170.34,170.211,170.34,170.18,98416,16756992.0,1707323460
121,2024-02-08 00:32:00,170.28,169.992,170.28,169.992,125130,21295104.0,1707323520
122,2024-02-08 00:33:00,170.04,169.862,170.04,169.84,191078,32455424.0,1707323580
123,2024-02-08 00:34:00,169.87,169.615,169.87,169.615,152906,25955072.0,1707323640
124,2024-02-08 00:35:00,169.64,169.514,169.705,169.514,130598,22157312.0,1707323700
125,2024-02-08 00:36:00,169.547,169.615,169.696,169.515,235888,39990784.0,1707323760
126,2024-02-08 00:37:00,169.645,169.605,169.66,169.5,117066,19857152.0,1707323820
