,dt,open,close,high,low,vol,ts
0,2023-11-28 22:31:00,376.85,377.63,377.63,375.5,650177,1701181860
1,2023-11-28 22:32:00,378.035,378.3,378.61,378.035,147808,1701181920
2,2023-11-28 22:33:00,378.505,378.41,378.848,378.41,128384,1701181980
3,2023-11-28 22:34:00,379.0,378.99,379.21,378.974,122857,1701182040
4,2023-11-28 22:35:00,379.04,378.625,379.11,378.625,110898,1701182100
5,2023-11-28 22:36:00,378.335,378.654,378.654,378.12,91770,1701182160
6,2023-11-28 22:37:00,378.365,378.48,378.56,378.365,62731,1701182220
7,2023-11-28 22:38:00,378.66,378.22,378.66,378.22,51784,1701182280
8,2023-11-28 22:39:00,378.12,378.274,378.36,378.12,70301,1701182340
9,2023-11-28 22:40:00,378.38,378.671,378.719,378.38,104395,1701182400
10,2023-11-28 22:41:00,378.69,378.78,378.78,378.45,58087,1701182460
11,2023-11-28 22:42:00,378.65,378.905,378.905,378.65,67154,1701182520
12,2023-11-28 22:43:00,379.04,378.88,379.04,378.8,68180,1701182580
13,2023-11-28 22:44:00,378.8,378.709,378.8,378.52,88998,1701182640
14,2023-11-28 22:45:00,378.58,378.61,378.612,378.51,83418,1701182700
15,2023-11-28 22:46:00,378.58,378.815,378.93,378.58,100461,1701182760
16,2023-11-28 22:47:00,378.79,379.21,379.245,378.775,150830,1701182820
17,2023-11-28 22:48:00,379.335,379.37,379.425,379.21,164489,1701182880
18,2023-11-28 22:49:00,379.525,380.2,380.2,379.525,208221,1701182940
19,2023-11-28 22:50:00,379.98,379.79,380.025,379.72,106904,1701183000
20,2023-11-28 22:51:00,379.89,379.83,379.92,379.68,102934,1701183060
21,2023-11-28 22:52:00,379.97,380.4,380.4,379.97,157028,1701183120
22,2023-11-28 22:53:00,380.295,380.21,380.295,379.94,129569,1701183180
23,2023-11-28 22:54:00,380.28,380.06,380.28,380.06,73704,1701183240
24,2023-11-28 22:55:00,380.23,379.6,380.23,379.6,93251,1701183300
25,2023-11-28 22:56:00,379.64,379.705,379.93,379.64,125461,1701183360
26,2023-11-28 22:57:00,379.563,379.24,379.563,379.24,84849,1701183420
27,2023-11-28 22:58:00,379.152,378.96,379.152,378.96,88632,1701183480
28,2023-11-28 22:59:00,378.95,379.11,379.11,378.95,58283,1701183540
29,2023-11-28 23:00:00,378.981,378.83,379.0,378.83,47697,1701183600
30,2023-11-28 23:01:00,378.69,379.03,379.03,378.69,77463,1701183660
31,2023-11-28 23:02:00,379.09,378.94,379.09,378.801,51388,1701183720
32,2023-11-28 23:03:00,379.227,379.03,379.227,378.96,54794,1701183780
33,2023-11-28 23:04:00,379.09,379.429,379.454,379.07,56598,1701183840
34,2023-11-28 23:05:00,379.63,379.085,379.63,379.085,61491,1701183900
35,2023-11-28 23:06:00,379.23,379.09,379.23,378.96,55128,1701183960
36,2023-11-28 23:07:00,379.107,378.84,379.107,378.84,42066,1701184020
37,2023-11-28 23:08:00,378.895,378.581,378.895,378.581,51354,1701184080
38,2023-11-28 23:09:00,378.575,378.625,378.734,378.523,47684,1701184140
39,2023-11-28 23:10:00,378.69,379.02,379.02,378.69,49323,1701184200
40,2023-11-28 23:11:00,379.1,378.695,379.1,378.695,51606,1701184260
41,2023-11-28 23:12:00,378.538,378.774,378.774,378.538,33885,1701184320
42,2023-11-28 23:13:00,378.69,378.857,378.99,378.69,50221,1701184380
43,2023-11-28 23:14:00,378.85,379.03,379.03,378.718,42202,1701184440
44,2023-11-28 23:15:00,379.06,379.32,379.32,378.92,107835,1701184500
45,2023-11-28 23:16:00,379.402,379.43,379.43,379.26,73722,1701184560
46,2023-11-28 23:17:00,379.495,379.68,379.68,379.26,81943,1701184620
47,2023-11-28 23:18:00,379.575,379.548,379.63,379.548,57463,1701184680
48,2023-11-28 23:19:00,379.471,379.35,379.51,379.28,37446,1701184740
49,2023-11-28 23:20:00,379.205,379.28,379.291,379.115,39313,1701184800
50,2023-11-28 23:21:00,379.27,379.45,379.45,379.27,32960,1701184860
51,2023-11-28 23:22:00,379.43,379.811,379.811,379.43,61818,1701184920
52,2023-11-28 23:23:00,379.8,379.801,379.98,379.7,70488,1701184980
53,2023-11-28 23:24:00,379.946,379.95,379.95,379.81,44061,1701185040
54,2023-11-28 23:25:00,379.91,379.735,379.92,379.735,49844,1701185100
55,2023-11-28 23:26:00,379.79,380.22,380.22,379.77,70890,1701185160
56,2023-11-28 23:27:00,380.38,379.757,380.41,379.757,102739,1701185220
57,2023-11-28 23:28:00,379.552,379.63,379.68,379.552,53803,1701185280
58,2023-11-28 23:29:00,379.66,379.69,379.78,379.61,102113,1701185340
59,2023-11-28 23:30:00,379.71,379.65,379.71,379.553,24723,1701185400
60,2023-11-28 23:31:00,379.59,379.65,379.65,379.505,36326,1701185460
61,2023-11-28 23:32:00,379.64,379.67,379.72,379.58,26547,1701185520
62,2023-11-28 23:33:00,379.62,379.775,379.775,379.62,64704,1701185580
63,2023-11-28 23:34:00,379.839,379.98,380.03,379.82,53620,1701185640
64,2023-11-28 23:35:00,379.91,380.035,380.07,379.91,54831,1701185700
65,2023-11-28 23:36:00,380.08,379.85,380.08,379.85,46542,1701185760
66,2023-11-28 23:37:00,379.7,379.76,379.78,379.59,34678,1701185820
67,2023-11-28 23:38:00,379.8,379.98,379.98,379.8,25709,1701185880
68,2023-11-28 23:39:00,379.96,380.105,380.105,379.75,47868,1701185940
69,2023-11-28 23:40:00,380.17,380.49,380.49,380.14,91964,1701186000
70,2023-11-28 23:41:00,380.719,380.389,380.719,380.389,141016,1701186060
71,2023-11-28 23:42:00,380.434,380.8,380.8,380.43,48690,1701186120
72,2023-11-28 23:43:00,380.97,381.015,381.015,380.79,86222,1701186180
73,2023-11-28 23:44:00,381.075,380.832,381.075,380.815,63036,1701186240
74,2023-11-28 23:45:00,380.981,380.91,381.106,380.885,71573,1701186300
75,2023-11-28 23:46:00,380.627,380.67,380.76,380.543,53738,1701186360
76,2023-11-28 23:47:00,380.64,380.61,380.64,380.58,27145,1701186420
77,2023-11-28 23:48:00,380.56,380.22,380.56,380.165,60160,1701186480
78,2023-11-28 23:49:00,380.26,380.27,380.325,380.23,35174,1701186540
79,2023-11-28 23:50:00,380.309,380.43,380.43,380.3,49423,1701186600
